Age,Gender,Location,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Churn
68,1,4,7,92.9,199,1
41,0,3,21,80.3,351,1
26,1,4,23,87.42,261,0
52,0,0,3,38.11,376,0
37,0,2,14,63.78,321,1
68,0,3,5,40.9,496,0
22,0,3,10,64.04,89,1
48,1,1,10,36.44,162,1
33,1,2,15,70.28,480,1
66,1,0,20,35.34,400,1
33,0,0,1,95.13,320,0
35,0,1,3,36.48,303,1
19,0,0,10,89.65,197,0
56,0,3,18,56.81,218,0
54,0,3,2,86.68,225,1
53,1,0,10,47.57,134,0
34,1,4,1,65.08,181,0
66,0,0,21,71.73,231,0
39,0,0,11,39.55,474,0
53,1,1,17,44.07,348,0
31,1,1,21,35.29,112,1
41,0,2,13,67.09,419,1
61,0,0,23,66.52,457,0
34,1,0,4,46.49,54,1
61,0,2,13,54.37,122,0
26,1,4,2,92.47,397,1
70,0,0,6,42.26,100,1
54,0,3,3,56.44,463,1
52,0,4,17,75.12,318,1
35,0,2,20,86.55,242,1
18,1,0,3,74.14,327,0
56,0,1,10,97.94,84,1
62,0,0,20,82.82,476,0
62,1,4,4,85.73,256,0
37,1,1,15,58.81,241,1
24,0,0,24,77.85,466,0
32,0,2,1,44.58,438,1
27,0,0,4,66.4,51,1
43,0,1,1,55.18,165,1
53,0,2,11,79.66,120,1
46,0,0,1,96.75,493,1
43,0,2,1,84.36,150,1
64,1,1,15,56.53,59,0
29,1,1,7,98.2,188,0
54,1,4,5,72.36,339,1
60,0,3,18,97.06,167,1
37,0,0,10,57.34,120,1
24,0,2,20,30.52,371,0
64,0,4,22,79.41,114,0
29,0,2,2,89.42,236,0
50,1,1,19,56.3,114,0
59,0,4,1,48.14,301,1
21,0,0,2,66.9,209,0
65,1,2,19,93.59,311,0
42,0,2,8,78.06,236,0
32,1,1,9,72.83,496,0
51,1,2,21,95.01,429,0
40,1,4,24,45.87,459,0
62,1,1,14,77.0,305,1
55,1,2,3,47.48,190,0
49,1,0,7,72.62,345,0
32,1,3,8,75.84,284,1
66,0,4,16,87.64,390,1
47,1,4,15,36.66,438,0
20,0,2,3,51.26,72,1
69,1,1,21,82.39,115,1
22,1,0,2,40.33,258,0
34,0,3,7,41.54,358,1
60,0,0,9,40.33,442,1
55,0,1,13,52.33,136,1
37,1,2,11,36.1,280,1
23,1,3,4,36.47,55,1
28,0,3,18,30.87,309,1
48,1,1,3,72.26,266,1
35,1,2,22,35.75,388,0
62,1,2,15,34.96,345,0
59,0,1,11,87.68,52,0
61,1,4,5,34.31,478,1
33,1,2,20,45.49,401,1
21,0,4,2,48.99,472,1
68,1,3,24,60.59,269,0
19,0,3,18,75.56,65,0
21,1,4,10,33.65,163,0
30,1,4,13,32.33,383,1
67,0,4,1,50.04,488,1
70,1,3,24,93.55,497,1
48,1,2,11,83.53,71,1
63,1,4,19,41.08,216,0
53,1,0,22,88.15,229,1
60,0,1,14,38.39,115,1
69,1,1,3,90.34,271,1
56,0,4,6,65.68,223,0
29,1,0,15,92.34,263,1
20,0,2,16,95.27,255,1
55,1,1,21,87.95,145,1
52,0,1,15,77.27,203,0
68,0,0,16,32.89,76,0
26,0,0,14,88.11,336,1
51,1,0,14,52.3,372,0
45,1,0,2,64.6,443,0
30,0,1,10,33.36,306,0
57,1,3,22,49.48,307,0
63,1,3,3,81.12,395,0
70,0,3,15,75.99,73,0
18,1,1,14,85.42,491,0
22,0,1,2,82.8,136,0
19,1,1,24,44.98,427,1
34,1,1,4,81.4,386,1
22,0,0,4,88.11,256,1
44,0,2,19,81.28,448,0
63,1,0,5,89.61,377,1
35,1,1,13,30.93,482,1
47,1,3,22,73.12,324,1
19,1,3,14,59.27,357,1
62,1,2,5,65.15,187,1
47,0,2,19,74.76,397,0
20,0,1,22,36.36,394,1
42,0,0,24,82.02,123,0
68,1,1,21,49.44,149,1
42,1,0,11,36.5,303,0
55,1,0,13,46.37,106,0
48,0,0,22,70.57,296,1
38,1,0,4,55.97,463,1
44,0,1,9,35.46,80,0
70,0,4,3,74.1,211,1
41,0,4,13,62.21,460,1
36,1,4,4,33.98,78,1
61,1,4,15,97.86,499,0
60,1,3,2,89.4,357,1
33,0,3,24,89.1,498,1
38,1,4,14,48.84,424,1
59,1,2,8,71.04,204,1
38,0,0,17,42.76,407,1
64,1,1,10,53.0,325,1
35,1,3,1,34.75,119,0
63,1,1,4,39.25,143,0
41,1,0,17,68.08,71,1
46,0,4,20,68.87,153,1
55,0,1,4,67.92,109,0
29,0,4,1,65.48,295,1
45,0,2,3,46.32,369,0
35,1,2,4,46.19,437,0
49,0,2,24,48.09,492,0
47,0,1,6,52.19,406,0
34,0,2,7,58.2,69,0
31,0,1,18,52.01,397,0
20,1,1,5,59.74,272,0
28,1,4,6,89.31,327,1
43,0,0,19,66.76,352,1
22,1,3,24,59.96,125,1
65,1,3,9,40.35,488,1
22,1,4,23,33.01,112,0
52,0,0,1,44.29,184,0
49,0,0,7,47.28,69,1
68,1,1,16,81.03,82,1
31,0,0,9,36.75,160,1
57,1,2,21,87.93,162,1
55,1,0,9,49.53,333,0
41,0,2,8,98.39,104,1
52,1,3,7,67.9,247,0
18,0,1,17,52.46,411,1
52,0,3,24,82.98,286,0
61,1,2,1,76.62,405,0
39,1,2,15,88.43,353,1
55,0,3,9,58.5,63,1
51,0,0,9,93.41,184,1
26,0,1,16,94.35,253,0
21,1,4,16,73.27,301,1
62,0,1,21,49.08,229,1
67,0,2,1,88.86,405,0
35,1,1,22,64.93,289,0
48,0,0,20,50.54,88,0
25,0,4,11,72.89,101,0
30,1,4,15,50.65,239,0
61,1,0,10,69.25,102,1
57,1,3,15,43.94,346,1
50,1,2,13,67.59,63,1
69,0,1,12,53.13,446,1
53,1,1,24,56.49,185,0
41,1,0,2,51.23,91,0
54,0,2,19,56.82,232,0
37,1,4,3,56.14,385,1
54,0,3,4,93.26,380,0
27,0,0,24,84.76,431,0
68,0,2,6,69.57,419,1
32,0,3,17,35.8,364,1
35,0,1,11,89.84,79,0
56,1,3,13,76.02,300,1
23,1,3,21,63.78,411,0
53,0,2,2,59.26,374,1
52,0,2,17,35.54,86,0
23,0,3,10,69.35,457,0
64,0,1,8,53.43,233,1
65,0,0,3,86.01,192,1
46,1,1,15,99.44,290,0
37,0,4,8,46.55,59,1
48,1,3,3,37.17,243,0
35,1,2,15,77.75,265,0
28,0,4,20,85.92,433,1
69,0,1,20,98.93,469,0
66,1,3,14,94.58,453,0
47,1,0,13,35.97,224,1
59,0,3,16,77.31,421,1
34,1,4,20,82.44,251,0
31,0,1,10,34.17,485,0
32,0,1,24,70.9,180,1
19,0,2,13,31.32,50,0
44,1,3,1,91.81,185,1
53,1,0,3,56.24,400,1
45,1,4,2,81.66,306,0
64,0,4,2,61.34,446,0
34,0,3,11,36.76,171,1
25,0,1,8,88.15,364,1
23,1,2,24,38.48,395,0
64,0,2,20,61.82,488,0
33,1,0,23,42.86,427,1
23,0,0,13,68.72,150,1
67,1,3,15,98.38,95,1
52,0,3,7,64.03,93,1
50,1,3,21,40.65,350,1
27,0,4,8,88.37,369,0
65,0,2,8,33.59,58,0
51,1,1,24,55.14,304,0
56,0,3,13,37.15,394,1
56,0,3,1,61.2,58,1
33,1,4,12,77.65,200,0
25,1,1,3,96.44,420,1
64,0,1,2,47.48,132,0
43,1,0,21,96.22,76,0
48,1,1,8,82.72,104,0
29,0,3,10,46.33,476,1
50,0,3,3,41.68,160,1
44,1,0,14,87.05,181,0
48,1,4,1,31.63,428,1
40,0,3,11,67.72,58,0
61,0,4,9,51.66,243,0
56,0,4,18,90.54,479,1
53,1,4,19,35.35,183,0
34,0,3,2,75.58,274,0
60,0,1,24,81.98,96,1
30,0,2,22,50.35,103,1
36,1,0,1,72.83,129,1
34,0,2,16,48.74,417,0
31,0,2,24,74.35,99,1
32,0,4,17,87.24,430,0
58,0,3,19,37.03,75,0
36,1,0,9,74.69,53,1
57,0,2,12,97.51,382,0
35,1,0,19,47.8,412,1
55,0,0,18,59.97,129,0
44,0,3,18,97.04,132,0
53,0,4,7,91.69,226,0
24,1,2,13,68.7,492,1
60,1,1,3,34.26,132,1
19,0,0,21,59.3,346,1
61,1,2,17,94.05,320,0
46,1,0,22,60.31,268,0
32,1,0,21,89.51,410,0
68,0,1,2,96.19,94,0
27,0,3,3,75.25,315,1
56,0,2,12,34.98,136,1
52,1,3,19,33.81,364,0
20,1,3,20,59.49,143,0
46,1,2,24,34.14,387,1
65,0,2,22,63.56,410,0
52,0,4,17,64.71,116,1
42,0,1,22,59.53,498,1
62,0,2,18,61.32,385,0
44,1,0,13,34.11,53,0
27,0,2,4,56.55,493,1
66,0,3,5,64.77,489,0
63,1,1,9,78.13,380,0
41,1,3,3,30.05,108,1
25,1,3,6,67.62,184,1
67,0,0,15,92.03,208,0
61,0,3,20,43.18,387,0
25,1,4,23,44.33,200,0
60,1,1,15,86.32,442,0
39,0,1,13,94.42,313,1
65,1,1,15,82.08,89,0
59,0,1,13,41.99,127,0
65,0,0,19,95.71,393,1
59,1,2,16,37.42,222,1
66,1,4,8,61.34,297,1
63,1,0,20,75.18,451,1
49,0,1,16,49.44,493,1
30,1,2,24,49.57,56,0
43,1,2,11,53.56,298,1
24,0,0,16,31.99,394,0
30,1,1,14,92.0,366,0
21,0,0,24,51.63,58,1
48,0,2,3,44.59,498,1
61,1,1,20,52.91,437,0
41,1,3,22,87.23,139,0
23,0,4,21,85.0,243,1
41,0,0,22,33.91,493,0
31,1,2,7,59.5,282,0
24,0,0,16,40.16,496,0
47,1,0,4,31.74,65,1
65,0,3,16,42.28,138,0
48,1,1,8,91.53,141,0
23,1,2,8,45.41,184,1
45,0,3,11,87.25,393,0
18,1,0,12,65.83,156,1
59,0,4,22,51.76,497,1
70,0,3,5,62.49,354,0
51,0,2,1,64.0,428,1
47,1,4,20,86.48,373,0
25,0,3,11,39.65,157,0
27,0,4,13,71.99,229,1
43,0,1,13,53.96,86,0
39,1,1,10,47.96,89,1
38,0,4,24,33.7,397,0
24,0,2,18,90.92,216,0
56,1,2,11,54.84,82,1
46,1,2,19,64.59,467,0
32,0,3,13,99.15,143,1
60,0,3,3,60.13,68,1
33,0,1,1,96.29,351,0
25,1,4,10,94.12,414,0
63,1,2,1,31.36,223,1
33,0,0,11,76.79,101,0
37,0,4,17,46.3,360,0
22,0,1,14,44.5,202,1
18,1,0,12,70.78,84,0
41,1,1,16,93.64,319,1
19,1,2,24,53.99,144,1
26,0,0,8,57.78,79,0
29,1,4,17,47.46,270,0
28,0,4,14,58.41,273,0
59,0,2,21,57.08,278,0
44,0,4,16,54.48,67,0
39,1,2,8,44.5,194,1
24,1,3,4,99.34,217,0
21,0,2,1,60.92,350,0
64,0,3,17,78.32,189,1
31,0,4,22,32.62,406,0
61,1,1,9,43.54,118,0
42,1,1,17,45.46,366,0
46,0,1,1,73.66,155,1
55,0,3,9,67.73,358,1
51,0,3,22,92.89,62,0
40,1,1,1,43.55,413,1
63,0,4,2,94.04,251,0
24,0,3,10,30.35,72,0
54,0,2,4,94.05,243,1
19,1,0,16,50.82,177,0
56,0,0,13,87.7,165,0
26,0,3,21,56.59,318,0
50,0,2,7,71.47,198,0
24,0,1,9,99.7,154,1
31,1,4,2,33.1,229,0
43,0,3,8,51.22,423,1
32,1,2,19,52.15,466,1
60,0,3,21,85.54,295,0
38,0,0,10,43.7,306,0
56,0,4,4,98.93,273,1
65,1,0,10,89.22,177,1
63,1,2,4,64.46,202,0
41,1,4,5,39.06,430,1
23,1,3,2,66.34,72,1
50,1,1,24,60.11,458,0
66,1,2,21,71.27,449,0
43,0,2,10,54.62,442,1
52,1,0,1,89.69,251,1
35,0,2,21,82.1,333,0
42,0,4,4,82.07,265,1
59,0,0,24,38.6,202,0
57,1,3,24,30.93,71,0
31,1,2,18,42.7,241,0
39,1,4,14,79.62,255,1
55,0,0,16,35.5,490,1
18,1,3,14,60.73,218,0
42,0,3,23,47.27,395,0
41,1,4,14,58.01,464,1
49,1,4,22,73.87,469,0
63,0,1,23,56.31,383,1
51,0,2,5,42.2,379,1
23,0,4,21,58.89,153,1
39,0,1,23,41.61,58,0
52,0,1,14,33.07,217,0
34,0,1,20,33.58,377,1
20,0,1,20,43.27,136,0
51,1,1,20,92.27,296,1
64,0,0,18,95.56,239,0
25,1,0,5,37.13,109,1
60,0,2,2,92.79,499,0
69,0,1,16,44.71,254,0
30,0,1,16,97.02,333,0
21,0,1,11,40.6,131,1
23,1,0,24,81.56,76,1
51,0,4,14,38.52,214,0
52,0,3,24,35.43,327,1
23,1,0,11,81.29,92,1
63,0,4,7,69.32,195,1
45,0,3,16,60.46,232,1
50,1,1,8,47.78,82,0
29,1,1,13,50.56,450,0
35,1,4,11,64.0,203,0
38,1,1,18,83.96,450,1
52,0,0,20,80.42,127,1
37,1,3,18,83.3,391,1
27,1,4,24,83.69,460,1
54,0,2,7,60.8,347,1
41,1,1,16,64.84,488,0
47,0,2,14,41.12,288,0
62,1,0,13,71.23,191,1
63,1,2,22,52.75,425,1
61,1,1,7,51.42,432,1
33,1,1,4,91.3,384,1
25,0,0,7,60.57,181,0
47,0,0,23,65.19,384,0
62,0,2,8,62.23,407,1
50,1,3,12,55.49,57,1
42,0,2,5,32.36,417,0
36,0,0,7,72.93,220,1
56,0,2,21,68.44,494,1
30,0,0,16,47.79,235,0
29,0,4,12,51.14,456,1
45,1,1,20,32.66,196,1
70,1,0,23,58.87,144,1
20,1,1,8,38.14,369,0
54,1,1,14,63.68,173,1
37,0,3,22,38.41,134,1
48,1,0,13,43.63,401,0
19,1,4,14,99.22,148,1
66,1,0,20,32.05,403,1
45,0,1,18,95.62,429,0
54,1,2,15,47.9,210,1
52,0,1,13,39.79,363,1
42,0,4,13,87.28,169,0
35,1,4,11,77.85,497,1
21,0,1,21,43.83,171,1
31,1,3,6,42.75,319,0
35,1,1,10,75.22,413,0
27,1,2,6,88.64,216,1
20,0,0,8,64.23,130,1
62,1,3,3,78.97,288,1
49,1,2,12,99.5,183,1
68,1,0,7,85.76,132,1
61,1,2,22,97.13,449,0
38,1,2,16,58.95,487,0
47,0,2,15,59.16,386,1
36,0,3,21,63.45,455,0
62,1,4,1,37.02,485,1
26,0,1,1,88.11,191,1
61,1,2,5,86.09,145,1
44,0,2,6,56.69,105,1
41,0,2,9,40.0,399,0
26,0,4,1,69.58,67,1
55,1,2,3,38.82,323,0
35,0,0,18,34.73,73,1
39,0,2,10,77.3,126,0
35,0,4,9,33.59,282,0
48,0,3,13,84.64,360,1
56,0,0,21,86.81,61,1
45,1,1,21,91.62,428,1
30,1,0,14,70.34,204,1
65,1,0,12,53.89,172,1
60,0,4,24,99.87,155,1
30,1,1,19,68.63,266,1
19,1,2,14,37.68,195,1
24,1,3,3,75.59,447,1
70,0,0,3,37.57,225,0
31,1,0,14,65.28,311,1
21,1,0,2,81.09,423,0
57,0,3,21,78.89,109,0
19,0,1,5,91.54,104,0
21,1,0,16,56.49,341,0
34,0,2,22,48.16,226,1
67,0,3,5,82.11,498,1
24,0,0,17,68.98,459,0
56,1,4,7,74.09,303,1
32,1,2,20,49.76,104,1
42,1,1,16,91.15,426,0
53,0,0,4,55.61,172,0
27,1,4,17,33.85,145,1
53,0,3,11,40.46,240,1
33,0,3,2,60.21,354,1
42,1,1,5,45.46,369,0
33,0,2,1,46.91,357,1
37,0,3,11,53.65,196,0
56,0,0,8,38.67,144,1
48,1,4,15,36.41,190,0
48,0,2,19,80.16,185,1
33,0,2,14,33.63,108,0
36,1,1,8,45.06,167,1
62,0,3,21,63.67,360,0
61,0,3,19,89.98,300,0
57,0,1,20,76.56,425,1
34,0,1,15,94.82,305,1
42,1,2,15,77.16,302,0
44,0,3,18,89.57,420,1
51,0,3,17,99.2,144,0
41,0,3,24,57.66,51,0
64,1,4,14,83.11,72,1
37,0,1,19,82.98,216,0
24,0,4,7,84.8,372,0
25,0,1,13,41.94,313,0
47,1,0,7,65.83,325,1
57,1,4,13,77.38,54,0
28,0,2,10,50.52,449,1
24,0,3,20,79.69,118,1
67,0,2,8,56.41,380,0
64,0,4,8,79.28,176,0
22,1,0,8,89.62,432,0
18,1,3,24,95.01,156,1
55,1,1,12,35.24,152,0
27,0,0,10,69.8,224,1
18,0,2,18,50.39,393,1
18,0,0,5,48.57,373,1
19,0,0,3,99.49,105,1
53,0,0,9,91.52,404,0
51,1,0,6,96.36,258,0
42,0,0,2,49.59,497,0
29,0,0,18,68.93,331,1
27,0,0,19,43.9,297,0
42,0,1,24,35.76,200,0
32,0,2,21,36.51,56,1
43,1,3,17,32.92,440,1
22,1,3,9,89.6,396,1
29,1,1,5,82.06,208,0
55,1,3,13,66.9,276,1
63,1,3,11,70.06,237,1
37,1,2,19,40.8,73,0
47,0,3,24,43.32,114,1
44,1,2,19,95.77,270,0
23,1,3,22,85.12,411,1
27,1,4,2,89.71,254,1
58,0,0,2,78.98,366,1
46,0,4,22,76.21,87,1
57,1,4,15,55.31,291,1
56,0,2,22,38.18,281,0
59,1,1,9,57.76,429,0
51,1,0,8,94.16,373,1
21,0,0,17,87.15,191,1
61,0,4,24,69.86,233,0
20,0,1,13,87.65,130,1
30,0,1,2,47.96,226,1
31,1,0,15,36.44,193,1
38,1,3,2,58.34,302,1
52,1,1,7,82.82,221,0
57,0,0,18,77.23,263,1
65,0,0,15,99.2,237,0
57,1,4,7,43.7,289,1
34,1,4,13,90.27,253,0
35,1,1,7,66.93,347,1
45,1,0,17,60.08,90,0
64,0,0,22,47.62,305,0
50,0,1,13,52.32,213,1
24,1,1,22,63.17,263,1
22,0,1,20,55.72,500,0
25,0,0,10,68.76,170,1
46,1,0,7,72.74,421,0
34,0,3,9,31.58,498,0
60,1,3,22,67.49,476,1
46,0,0,13,32.05,174,0
37,0,2,23,77.25,353,0
22,1,1,3,92.09,230,0
29,1,1,20,48.01,220,0
46,0,3,17,66.61,440,1
60,0,4,22,66.04,456,0
42,1,2,10,61.39,112,1
41,1,1,23,74.35,63,0
67,0,2,24,40.86,182,1
43,0,4,6,75.93,84,1
47,0,3,7,54.4,496,1
36,0,2,6,57.28,354,0
54,0,4,3,53.33,395,1
49,1,3,7,84.66,359,0
52,1,3,20,52.71,384,1
33,0,1,13,93.45,494,1
42,1,0,17,30.06,178,1
59,1,0,8,74.71,352,0
19,1,3,22,94.59,430,0
38,0,4,3,41.97,95,1
54,0,3,12,66.19,487,0
46,1,4,4,79.08,291,0
60,1,0,21,30.82,240,1
31,0,0,12,51.91,229,1
19,0,4,5,98.02,377,0
59,0,1,4,93.0,52,0
42,1,4,18,34.37,408,0
59,0,0,19,92.86,129,0
56,1,0,18,30.02,268,1
24,0,2,13,40.0,194,0
68,1,4,4,88.24,322,0
33,0,3,4,65.99,286,1
57,0,0,18,54.42,308,1
61,1,0,3,87.6,454,1
34,1,2,17,57.05,237,0
51,0,2,7,79.55,417,1
42,1,4,8,35.49,239,0
61,0,1,23,41.75,322,1
60,0,2,4,83.97,173,1
20,1,0,13,84.79,488,0
47,1,0,8,48.3,353,1
21,1,1,6,46.01,158,1
32,1,0,24,70.11,389,1
59,1,1,18,48.46,463,1
49,1,0,1,30.54,328,0
49,1,0,21,68.36,436,0
48,0,1,13,66.49,127,1
48,0,4,21,97.9,69,1
35,1,0,1,87.63,413,1
53,0,0,14,69.48,59,0
65,1,2,2,48.83,62,1
36,0,3,10,57.97,387,1
46,0,0,13,94.17,283,0
56,1,0,18,74.28,69,0
59,1,0,9,42.05,92,1
49,0,2,15,42.27,448,1
26,0,3,23,95.95,467,1
54,0,2,11,91.8,294,1
32,1,4,24,51.26,106,1
51,1,1,17,86.87,165,0
44,1,0,9,96.98,440,0
28,1,1,23,42.75,152,1
30,0,4,24,87.93,397,1
40,1,4,3,86.05,90,1
60,1,3,18,51.7,312,1
42,1,2,22,81.56,338,1
39,0,2,17,63.87,69,0
69,0,2,13,42.81,431,0
51,1,1,9,97.01,276,1
41,0,0,12,68.39,90,0
46,0,0,3,95.35,140,0
29,1,4,21,42.73,196,0
45,1,1,20,82.58,474,0
57,1,0,14,46.23,322,1
40,0,3,21,58.05,117,1
31,0,3,24,59.18,60,0
24,1,0,17,97.96,94,0
19,1,4,23,35.67,362,1
38,0,4,8,85.12,205,0
27,1,2,2,56.6,103,0
26,0,3,19,57.39,416,1
57,0,1,17,42.32,448,1
33,0,3,17,77.21,485,1
42,1,3,5,43.44,117,0
54,0,3,1,31.57,483,0
43,0,0,5,94.05,415,0
33,1,4,5,59.3,459,0
41,1,4,6,75.94,384,1
18,1,1,16,53.47,284,1
48,1,2,15,39.08,477,1
42,1,1,16,38.08,466,0
38,0,4,18,77.48,444,1
50,0,3,24,99.24,153,0
66,0,1,9,64.18,449,0
62,1,4,7,78.53,214,0
70,1,4,8,63.88,449,0
46,1,3,18,98.96,271,1
68,1,0,20,80.01,484,0
26,1,3,5,67.91,252,0
56,1,4,11,66.92,132,1
48,1,2,3,67.86,198,1
18,1,2,20,57.98,413,1
38,0,1,11,95.25,491,0
54,0,4,9,85.46,250,1
32,1,1,17,92.35,436,1
26,1,2,20,38.66,114,0
35,1,0,2,72.45,99,0
26,1,3,19,37.95,294,0
45,0,2,18,63.43,178,1
64,1,0,13,34.06,500,0
33,0,3,14,39.96,95,0
58,0,3,9,55.86,483,1
61,0,2,6,64.11,477,1
40,0,1,1,63.65,451,1
32,1,1,16,45.17,137,0
23,0,0,9,41.89,118,0
54,1,3,16,79.6,69,1
32,0,3,3,51.5,90,0
61,1,1,16,94.08,436,0
43,1,1,19,68.93,118,0
57,1,1,19,95.96,294,1
43,1,2,19,59.57,171,1
21,0,0,16,93.53,204,1
58,1,4,2,39.11,69,0
34,1,1,18,47.62,412,1
33,0,0,3,33.02,387,1
27,1,1,4,67.21,164,0
45,1,4,7,91.29,78,0
33,0,0,4,82.72,146,1
25,0,4,8,81.78,172,1
21,0,1,5,68.46,388,0
18,0,0,24,80.3,360,0
30,1,2,2,98.63,50,1
55,1,2,14,73.67,499,0
40,1,1,22,64.61,321,1
55,0,3,8,32.85,198,0
40,1,4,24,37.63,493,0
47,1,4,18,48.17,131,0
29,1,4,19,53.01,203,1
38,1,2,8,51.11,462,1
33,1,1,21,78.1,161,0
39,1,4,3,40.9,313,1
28,1,1,11,68.52,426,1
29,0,3,22,45.12,322,0
37,1,4,13,92.04,166,1
33,1,0,5,92.58,346,1
41,1,2,9,53.72,410,0
55,1,2,12,89.19,315,1
47,0,3,1,94.34,447,1
58,1,0,3,82.43,82,0
48,0,4,4,30.86,357,0
64,1,2,12,84.01,221,0
48,0,4,1,78.93,300,0
50,1,4,22,55.45,320,0
55,1,2,6,93.41,498,1
54,0,0,2,84.45,289,0
